Molecule ChEMBL ID,Smiles,Standard Value,Standard Units
CHEMBL467,NC(=O)NO,500000.0,nM
CHEMBL436828,COc1cc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc(OC)c1OC,1000000.0,nM
CHEMBL404134,O=C(O)CC1S/C(=N\N=C\c2ccc(F)cc2)N(c2ccccc2)C1=O,50000.0,nM
CHEMBL251897,S=C(N/N=C/c1ccc(Cl)cc1Cl)Nc1ccccc1,2000000.0,nM
CHEMBL254119,CN(C)c1ccc(/C=N/NC(=S)Nc2ccccc2)cc1,1000000.0,nM
CHEMBL403382,Fc1ccccc1/C=N/NC(=S)Nc1ccccc1,1000000.0,nM
CHEMBL403381,Cc1cccc(/C=N/NC(=S)Nc2ccccc2)c1,2000000.0,nM
CHEMBL23146,COc1ccc(SCc2cnc3nc(N)nc(N)c3n2)cc1,3000.0,nM
CHEMBL1096206,CC1=C(C(=O)NCc2ccc(C(F)(F)F)cc2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,340.0,nM
CHEMBL1095738,CC1=C(c2nc(C3CCCCC3)cs2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,590.0,nM
CHEMBL1095536,CC1=C(c2nccs2)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1100.0,nM
CHEMBL456,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,,
CHEMBL989,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1,,
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,,
CHEMBL571,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,,
CHEMBL307739,CNCCc1ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c1,,
CHEMBL1765148,CCCCCCCCCCCNCC(P(=O)(O)O)P(=O)(O)O,10000.0,nM
CHEMBL1774298,CCNC(=O)N1C[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@H]1C,59000.0,nM
CHEMBL529,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,600.0,nM
CHEMBL53903,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c2ccccc12,40.0,nM
CHEMBL23787,Nc1nc(N)c2nc(CSc3ccc(Cl)cc3)cnc2n1,10000.0,nM
CHEMBL403162,S=C(N/N=C/c1ccccc1)Nc1ccccc1,5000000.0,nM
CHEMBL253040,COc1ccc(/C=N/N=C2\SC(CC(=O)O)C(=O)N2c2ccccc2)cc1,5000000.0,nM
CHEMBL561037,CCOC(=O)c1csc(N/N=C2/CCCC(C)C2)n1,15000.0,nM
CHEMBL550430,CCOC(=O)c1csc(N/N=C(\C)c2cccs2)n1,37000.0,nM
CHEMBL550351,CCOC(=O)c1csc(NN=C2CCC(C)CC2)n1,60000.0,nM
CHEMBL564991,CCOC(=O)c1csc(NN=C2CCCCCC2)n1,77000.0,nM
CHEMBL553425,CCOC(=O)c1csc(NN=C2CCCC2)n1,92000.0,nM
CHEMBL572118,CC1CCC/C1=N/Nc1nc(C(=O)O)cs1,320000.0,nM
CHEMBL1222857,NS(=O)(=O)c1cc([N+](=O)[O-])c(N(CCCCl)Cc2ccccc2)c([N+](=O)[O-])c1,2600.0,nM
CHEMBL295960,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],250.0,nM
CHEMBL600305,COc1ccc(C(C)=O)cc1N1C(=O)C2C(C1=O)C1(c3ccccc3)C(=O)C2(c2ccccc2)C(c2ccc(C)cc2)=C1c1ccc(C)cc1,30000.0,nM
CHEMBL475813,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,30000.0,nM
CHEMBL601771,Cc1ccc(N2C3c4ccccc4N(S(=O)(=O)c4ccc(C)cc4)C2c2ccccc2N3S(=O)(=O)c2ccc(C)cc2)cc1,30000.0,nM
CHEMBL605281,COc1ccc(NC(=O)C2c3ccccc3C(=O)N(CC(C)C)C2c2cccs2)cc1,30000.0,nM
CHEMBL591641,CC(O)(c1ccc(Cl)cc1)C(CN1CCCCC1)c1ccccc1.Cl,30000.0,nM
CHEMBL584841,CCCCNCC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,30000.0,nM
CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,,
CHEMBL1451,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,,
CHEMBL1256763,CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],19200.0,nM
